Image id,Actual Label,xmin,ymin,xmax,ymax,xmin_norm,xmax_norm,ymin_norm,ymax_norm
img_3256_JPG_jpg.rf.1899430ea344d59c764337efc895e25c.jpg,Spoit,351,240,380,285,0.5484375,0.59375,0.375,0.59375
img_3256_JPG_jpg.rf.1899430ea344d59c764337efc895e25c.jpg,Spoit,295,370,337,408,0.4609375,0.5265625,0.578125,0.5265625
img_3256_JPG_jpg.rf.1899430ea344d59c764337efc895e25c.jpg,Spoit,517,436,535,465,0.8078125,0.8359375,0.68125,0.8359375
img_3256_JPG_jpg.rf.1899430ea344d59c764337efc895e25c.jpg,Spoit,271,333,297,375,0.4234375,0.4640625,0.5203125,0.4640625
img_3256_JPG_jpg.rf.1899430ea344d59c764337efc895e25c.jpg,Spoit,291,184,319,220,0.4546875,0.4984375,0.2875,0.4984375
img_3256_JPG_jpg.rf.1899430ea344d59c764337efc895e25c.jpg,Spoit,277,299,301,337,0.4328125,0.4703125,0.4671875,0.4703125
img_3256_JPG_jpg.rf.1899430ea344d59c764337efc895e25c.jpg,Spoit,132,458,160,504,0.20625,0.25,0.715625,0.25
img_3256_JPG_jpg.rf.1899430ea344d59c764337efc895e25c.jpg,Spoit,118,370,147,416,0.184375,0.2296875,0.578125,0.2296875
img_3256_JPG_jpg.rf.1899430ea344d59c764337efc895e25c.jpg,Spoit,112,309,136,354,0.175,0.2125,0.4828125,0.2125
img_3256_JPG_jpg.rf.1899430ea344d59c764337efc895e25c.jpg,Spoit,192,257,215,307,0.3,0.3359375,0.4015625,0.3359375
img_3256_JPG_jpg.rf.1899430ea344d59c764337efc895e25c.jpg,Spoit,392,135,437,199,0.6125,0.6828125,0.2109375,0.6828125
img_3256_JPG_jpg.rf.1899430ea344d59c764337efc895e25c.jpg,Spoit,338,7,388,57,0.528125,0.60625,0.0109375,0.60625
img_2439_JPG_jpg.rf.3e6c81deb5e8606a6498cc0189f4ddfb.jpg,Spoit,249,269,281,333,0.3890625,0.4390625,0.4203125,0.4390625
img_2439_JPG_jpg.rf.3e6c81deb5e8606a6498cc0189f4ddfb.jpg,Immature,470,254,504,328,0.734375,0.7875,0.396875,0.7875
img_3490_JPG_jpg.rf.968cac7f6b561e09b68fa4a979579310.jpg,Spoit,574,335,596,379,0.896875,0.93125,0.5234375,0.93125
img_3490_JPG_jpg.rf.968cac7f6b561e09b68fa4a979579310.jpg,Spoit,593,222,620,268,0.9265625,0.96875,0.346875,0.96875
